category,metric,label,direction,n,p05,p25,p50,p75,p95,best_break_depth,reason
M,isoform_variant_intersection_n_pathogenic_in_shared_region,isoform_variant_intersection_n_pathogenic_in_shared_region high,>=,6462,0.0,0.0,0.0,3.0,63.94999999999982,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_variant_intersection_n_pathogenic_in_unique_region,isoform_variant_intersection_n_pathogenic_in_unique_region high,>=,6462,0.0,0.0,0.0,0.0,25.949999999999818,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_variant_intersection_n_total,isoform_variant_intersection_n_total high,>=,6462,302.0,657.0,1065.0,1770.75,4373.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_variant_intersection_shared_region_nt,isoform_variant_intersection_shared_region_nt high,>=,6462,1.0,486.0,936.0,1563.0,3386.8499999999995,0.8,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_variant_intersection_unique_region_nt,isoform_variant_intersection_unique_region_nt high,>=,6462,12.0,45.0,123.0,531.0,2783.8499999999995,0.75,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_varianteffect_hits__len,isoform_varianteffect_hits__len high,>=,6462,302.0,657.0,1065.0,1770.75,4373.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_varianteffect_max_am_pathogenicity_shared,isoform_varianteffect_max_am_pathogenicity_shared high,>=,6038,0.9735,0.9963,0.9993,0.9999,1.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_varianteffect_mean_am_pathogenicity_shared,isoform_varianteffect_mean_am_pathogenicity_shared high,>=,6038,0.21412337018768818,0.31037609705930574,0.3961356670039632,0.482082191588785,0.6348197164720453,0.45,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_varianteffect_mean_am_pathogenicity_shared_disease,isoform_varianteffect_mean_am_pathogenicity_shared_disease high,>=,6021,0.20832727272727272,0.31223082706766914,0.4107549848942598,0.5194709677419355,0.6952349650349651,0.571,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_varianteffect_mean_am_pathogenicity_shared_gnomad,isoform_varianteffect_mean_am_pathogenicity_shared_gnomad high,>=,6033,0.21120965190921057,0.3029817351598173,0.38423670411985017,0.46215601092896175,0.6022567110997177,0.267,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_varianteffect_n_am_pathogenic_in_shared,isoform_varianteffect_n_am_pathogenic_in_shared high,>=,6462,0.0,63.0,127.0,223.0,503.89999999999964,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_varianteffect_n_am_pathogenic_in_shared_disease,isoform_varianteffect_n_am_pathogenic_in_shared_disease high,>=,6462,0.0,17.0,39.0,75.0,200.89999999999964,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_varianteffect_n_am_pathogenic_in_shared_gnomad,isoform_varianteffect_n_am_pathogenic_in_shared_gnomad high,>=,6462,0.0,40.0,85.0,144.0,309.0,0.917,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_varianteffect_n_am_pathogenic_in_unique,isoform_varianteffect_n_am_pathogenic_in_unique high,>=,6462,0.0,0.0,4.0,65.0,367.0,0.8,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_varianteffect_n_am_pathogenic_in_unique_disease,isoform_varianteffect_n_am_pathogenic_in_unique_disease high,>=,6462,0.0,0.0,1.0,20.0,131.94999999999982,1.0,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_varianteffect_n_am_pathogenic_in_unique_gnomad,isoform_varianteffect_n_am_pathogenic_in_unique_gnomad high,>=,6462,0.0,0.0,2.0,44.0,232.0,0.75,"no in-band cutoff — continuous, range-filter it instead"
M,isoform_varianteffect_n_damaging_in_shared,isoform_varianteffect_n_damaging_in_shared high,>=,6462,0.0,107.0,203.0,337.0,726.0,0.857,"no in-band cutoff — continuous, range-filter it instead"
